ik,n,t,eps,lam_1s,E0eff_1s,lam
26,3,0.806452,0.400918398,0.0012346304309390904,0.4078089556168074,0.0012346304309390904
26,4,0.806452,0.4559396006,0.0011133062467533568,0.402097811554834,0.0011133062467533568
26,5,0.806452,0.535980998,0.0011434813194409325,0.4100867121882539,0.0011434813194409325
26,6,0.806452,0.635486589,0.0009987989824682185,0.4071747314833481,0.0009987989824682185
26,7,0.806452,0.8064657336,0.0004048094474914632,0.32555290286556404,0.0004048094474914632
26,8,0.806452,0.9205083042,0.00034282431895852044,0.3188220305606923,0.00034282431895852044
27,1,0.83871,0.0220091675,0.006552350118524064,0.5631359602594356,0.006552350118524064
27,2,0.83871,0.1839733653,0.004137981456165479,0.5266913627377503,0.004137981456165479
27,3,0.83871,0.3985558829,0.0012459906569647354,0.4085927860732268,0.0012459906569647354
27,4,0.83871,0.4539900059,0.0011244629436478943,0.40300737484037547,0.0011244629436478943
27,5,0.83871,0.5334079627,0.0011534356369255054,0.410818981122032,0.0011534356369255054
27,6,0.83871,0.6365937951,0.001009852153906613,0.4084269364272972,0.001009852153906613
27,7,0.83871,0.8146818149,0.0003904869441813806,0.3227655332728822,0.0003904869441813806
27,8,0.83871,0.9214306965,0.0003213081785410305,0.31292434754691945,0.0003213081785410305
28,1,0.870968,0.0288507249,0.006280947868868789,0.5586696560965945,0.006280947868868789
28,2,0.870968,0.1733678941,0.004365271253478041,0.5319486047083287,0.004365271253478041
28,3,0.870968,0.3966192023,0.001255349549450475,0.40923261542080297,0.001255349549450475
28,4,0.870968,0.4523841428,0.0011336561902470944,0.4037489730623553,0.0011336561902470944
28,5,0.870968,0.5313024252,0.0011616382278924618,0.4114174528198553,0.0011616382278924618
28,6,0.870968,0.637569857,0.001019312675677374,0.409484605972203,0.001019312675677374
28,7,0.870968,0.8224831343,0.0003770545767920778,0.32007520612496876,0.0003770545767920778
28,8,0.870968,0.921486946,0.00030189757673259785,0.3070957722678163,0.00030189757673259785
29,1,0.903226,0.0349788257,0.00603082208498236,0.5543043427715847,0.00603082208498236
29,2,0.903226,0.164307167,0.004580734248990262,0.5367394014108958,0.004580734248990262
29,3,0.903226,0.3951106035,0.0012626772677679628,0.409730428995126,0.0012626772677679628
29,4,0.903226,0.4511285668,0.001140851564085174,0.4043249299737815,0.001140851564085174
29,5,0.903226,0.5296645868,0.001168062111422413,0.4118836009336873,0.001168062111422413
29,6,0.903226,0.6383749682,0.0010269614088176699,0.41033049807637906,0.0010269614088176699
29,7,0.903226,0.8294844502,0.0003650135479146134,0.3175957124543253,0.0003650135479146134
29,8,0.903226,0.9211081903,0.00028615328157676704,0.3019921629024851,0.00028615328157676704
30,1,0.935484,0.0399541767,0.005819401446643583,0.5504025221277916,0.005819401446643583
30,2,0.935484,0.1572344369,0.004766902959762302,0.5407428182653753,0.004766902959762302
30,3,0.935484,0.3940318779,0.0012679566528557525,0.4100885639404478,0.0012679566528557525
30,4,0.935484,0.4502283299,0.0011460333470508992,0.40473839256120164,0.0011460333470508992
30,5,0.935484,0.5284945992,0.0011726920792805796,0.412219398507201,0.0011726920792805796
